MotifName	A	B	C	X	Y
A_c0_2	1.4747361394966894	-0.4638053552675623	-0.4458732766008892	-0.006276670885055706	-0.13744575955044472
A_c0_1	1.815802369270426	-0.5378640865116009	-0.7477659151935457	0.005167955636606595	-0.16450667157715387
A_c0_0	2.4870668155932836	-0.8582350525352447	-0.9995935969418654	0.0038526585000043414	-0.3219961952455702
B_c1_0	-0.31562279370191343	1.1225450341767198	-0.403448329502605	0.0011076567619447773	-0.003163124367386849
C_c4_0	-0.19882458938824293	-0.22591398589677694	2.7473103181866074	-4.7116987590930495E-4	-0.010392187380181678
C_c4_2	-0.08931164877260667	-0.4193615924733737	2.0106883118769416	0.035986436241110135	-0.04403499719720771
X_c1_0	-0.8338927571105239	-0.8607549769915612	-0.9093171702568698	0.8690713176261116	-0.809346806814964
X_c0_0	-0.5924751796623049	-0.546104908742355	-0.6326126049497429	0.33988753272464023	-0.5454623746956353
Y_c3_0	-1.443440374158045	-1.0804365241633604	-1.4003309062030882	-1.3994518565433247	1.1585413575286876
Y_c3_1	-1.214115406520438	-0.7958881890077872	-1.1735575846261348	-1.1726776080710375	0.8425906284467322
Y_c4_0	-0.1003326273006317	-0.29562798470968155	0.008156444032304495	-0.0852668383177191	0.1048292076119263
