MotifName	A	B	C	X	Y
A_c1_0	2.2905552241725013	-0.9691154070056054	-0.5338494174086866	1.9959126839588088	-0.01046846397049134
A_c0_0	0.6408573281291676	-0.05296642461559042	2.6029838461246943E-4	0.7726775892417889	-0.2390076460454318
B_c0_0	-0.36449275727278585	1.302361286378178	-0.1410676208082499	-0.07692746948683175	0.5964026326791649
B_c1_0	-0.3924862954241908	1.16912320128726	-0.13957271125865736	-0.07919735667462346	0.5524565460068264
B_c1_1	-0.3779544033230835	1.092250243357713	-0.1392273387104997	-0.0793618140419418	0.49593775854621835
C_c3_0	-0.6261004525225604	-0.6677263446285839	2.0610686543461196	-6.908306601565579E-4	0.8098362379783066
C_c5_0	-8.908160317163659E-4	0.006441950938622547	0.04460708210606628	-0.0029362761522386976	0.06754747871114375
C_c0_0	-0.0388096772834717	0.013503355031170684	0.026138078662743522	-0.019668926172771443	9.779693737973596E-5
X_c1_0	0.9056198488790717	-0.05268750051306676	-6.264995610334462E-5	1.1700543379819224	-0.35777143307559117
X_c2_0	2.2905552241725013	-0.9691154070056054	-0.5338494174086866	1.9959126839588088	-0.01046846397049134
X_c0_0	0.5234828252652194	-9.493038216422129E-4	8.469768507673531E-4	0.6663202588188945	-0.14328638773910693
Y_c2_0	-0.3635634598297241	1.1150361240835132	-0.13948821373845713	-0.07897240703136091	0.5189458860565139
Y_c1_0	-0.6261004525225604	-0.667726344628584	2.0610686543461196	-6.908306601565578E-4	0.8098362379783065
Y_c0_0	-1.1767079243062128	0.18513824991193017	-2.536326972010749E-4	-1.9174214339980877	0.24171027549304758
Y_c4_0	-0.36707648453638864	-0.029525502258531997	1.2408217226373546	-0.04753647230332445	0.6281741887055741
