MotifName	ES-Active	ES-Inactive	early	shared	late
active_c1_0	0.1290833826497457	-0.053300917249613146	0.129720687878668	-4.684116783946312E-5	-0.13152236351465915
active_c0_0	-3.731545766030857E-4	-0.04564898304040029	3.5377790543932453E-4	-2.3304535877303572E-4	1.7801137093895357E-4
inactive_c0_0	2.3654988874105283E-4	0.21191863414483816	-0.3091281260761023	0.29149710966411563	-0.11901249526352226
inactive_c1_0	-0.0357645595529294	0.4005725953841158	-0.36086246820978035	0.11984095223188322	0.7939608930620119
early_c1_0	0.08307574099495141	-6.241708328377806E-5	0.15984123624026444	1.982340347482589E-4	-0.018718741518176495
early_c0_0	0.12024033472824724	0.0011423833423758081	0.49103231517329504	-0.027533046902080444	-0.19471983129456533
shared_c0_0	-0.014602868432769452	0.09864077833703105	-0.12245360424974558	0.12202453124660892	0.010984047600784709
shared_c1_0	0.24878571213656492	0.1006263730337732	-0.1511942628117593	0.4640844200017692	-0.2552579150996032
shared_c2_0	-3.291124845581363E-5	0.17043576569517363	-0.46405767268782977	0.3639734860249904	-0.40024069929099965
shared_c3_0	4.5000001887729674E-4	0.20695002069565913	-0.15446501711561392	0.3099112660425042	-0.1635168561896324
shared_c4_0	-0.061700715858501884	0.14093300872574205	-0.2997744998860267	0.22215947765365482	0.0828084150837828
shared_c5_0	-0.011093159607326368	0.08285935938089387	-0.1660567865121706	0.17381275877990532	-0.15937222697519163
late_c0_0	-0.07085969094090294	0.033915172437524566	-0.0383030973852318	-0.03164543245306378	0.1516215428623456
late_c1_0	-0.036188543219711836	0.22466944851127127	-0.3429498820415683	-0.020452785630878358	0.7836153941161836
