MotifName	ES-Active	ES-Inactive	early	shared	late
active_c2_0	0.16258659064076958	-0.14448724933714524	-0.2170316247139526	-0.3833822967364253	-0.9525182443233972
active_c1_0	0.05045770408683184	-0.01491251348368097	-0.25998472907364556	-0.01491251348368097	-0.2056910749806884
active_c0_0	0.07566770078459042	-0.006805290493947751	-0.01034590622247974	-0.02580943990469835	-0.00982906704039571
inactive_c1_0	-0.18090476916306752	0.14612024723862133	-0.5653689596810575	0.133521038207395	-0.5996909765047234
inactive_c2_0	-0.06503678897519033	0.03399843360529131	-0.0029597857875424544	-0.06528858669587644	-0.2153565839201348
inactive_c3_0	-0.03405805584050767	0.20978003260477976	-0.0923871192956069	-0.08839658367750297	-0.32706987711392455
early_c1_0	-0.09898710068098408	-0.006259178575939481	0.27637586833456457	-0.12317895200717076	-0.377497631030304
early_c3_0	-0.003479419889797962	0.002201589322631048	0.3098614441964051	-0.06940107052364404	-0.2322565212794664
early_c2_0	-0.014812742149653902	-0.010775872654614617	0.23742186855514186	-0.08277900707794604	-0.057073747867738556
shared_c0_0	-0.06499729935672194	-0.0023314824147015302	-0.5552474091529075	0.4211662678838547	-0.40860399374913015
shared_c1_0	-0.040502093293086634	0.002235177641983613	-0.31621363917777606	0.30447516972921523	-0.3226041115222493
shared_c2_0	-0.023794388491746997	-0.003173104258012126	-0.2377556398107203	0.08205482626180546	-0.05435180538492006
shared_c3_0	-0.04925681262683874	0.028461686638503212	-0.3271542377896646	0.21523441714300548	-0.4446877601860482
late_c2_0	-0.1542372358973302	-0.027967478280310543	-0.3415463654416023	-0.17095601085030074	0.41080010739810613
late_c1_0	-0.01002151589453508	-0.006563871188690719	-0.4600007505816548	-0.09420334246646982	0.5910368929256521
late_c3_0	-0.03617575584290801	-0.0030768971034316256	-0.4144824582095895	0.0074165455866245416	0.3347649732519796
